p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
48,100, ,#pragma omp parallel for,32,96,100,balanced,cores,0.93721,3206.346465110779
48,100, ,#pragma omp parallel for,128,32,10,balanced,cores,0.9380299999999999,3225.3688983917236
64,200, ,#pragma omp parallel for,8,8,100,balanced,cores,0.93811,3244.669639110565
64,400,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,100,balanced,cores,0.951615,3264.157267332077
48,100, ,#pragma omp parallel for,256,8,100,balanced,cores,0.932345,3283.5697655677795
48,400, ,#pragma omp parallel for,32,8,100,balanced,cores,0.94991,3302.7883207798004
64,100, , ,16,32,100,balanced,cores,0.937565,3321.8529584407806
32,100, , ,96,8,100,balanced,cores,1.00475,3340.7892410755157
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,20,balanced,threads,0.9436,3360.1163444519043
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,32,64,balanced,cores,0.929735,3379.4114739894867
64,400,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,64,balanced,cores,0.94357,3398.6613709926605
48,100,#pragma clang loop unrolling full, ,256,32,100,balanced,cores,0.93134,3417.7318725585938
64,100,#pragma clang loop unrolling full, ,32,256,10,balanced,threads,0.941075,3436.6663286685944
128,100,#pragma clang loop unrolling full, ,96,16,40,balanced,cores,0.962995,3455.779142856598
128,100, ,#pragma omp parallel for,96,128,10,balanced,cores,0.9544250000000001,3475.1218485832214
16,800, ,#pragma omp parallel for,96,256,100,balanced,cores,1.26505,3495.354856491089
64,100,#pragma clang loop unrolling full, ,128,32,100,balanced,threads,0.938185,3514.236869573593
96,100, , ,96,96,100,balanced,cores,0.95765,3533.3946850299835
96,100,#pragma clang loop unrolling full, ,16,4,20,balanced,cores,0.954515,3552.307129383087
128,100, ,#pragma omp parallel for,128,96,64,balanced,cores,0.95017,3571.8066504001617
48,400,#pragma clang loop unrolling full, ,256,32,100,balanced,cores,0.944185,3590.736782312393
64,400, ,#pragma omp parallel for,128,32,100,balanced,threads,0.953665,3610.1378734111786
48,1280, ,#pragma omp parallel for,32,4,100,balanced,threads,1.005655,3629.6354608535767
64,100,#pragma clang loop unrolling full, ,32,4,200,balanced,cores,0.937875,3648.6437952518463
64,100,#pragma clang loop unrolling full, ,32,64,20,balanced,cores,0.934535,3667.467179298401
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,200,balanced,cores,0.9291400000000001,3686.8146636486053
48,100, , ,64,32,10,balanced,threads,1.02205,3705.873956680298
48,100,#pragma clang loop unrolling full, ,32,96,64,balanced,cores,0.93159,3724.754897594452
32,100, ,#pragma omp parallel for,96,32,64,balanced,cores,1.0062,3744.1774237155914
48,400,#pragma clang loop unrolling full, ,32,96,10,balanced,sockets,0.95549,3763.2414948940277
192,100, , ,96,32,64,balanced,cores,0.96489,3784.593888759613
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,20,balanced,cores,0.93005,3804.2241761684418
96,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,40,balanced,cores,0.9440900000000001,3823.7740178108215
32,100, ,#pragma omp parallel for,96,96,100,balanced,cores,0.9273,3842.9455106258392
48,100, ,#pragma omp parallel for,256,32,160,balanced,cores,0.930695,3862.232034921646
48,100, ,#pragma omp parallel for,256,32,200,balanced,threads,0.934265,3881.274640083313
128,100, ,#pragma omp parallel for,96,16,100,balanced,cores,0.95241,3900.8253512382507
128,100, ,#pragma omp parallel for,2,4,200,balanced,cores,0.97048,3920.0985128879547
