p0,p1,p2,p3,p4,p5,p6,p7,objective,actually_measured,lookahead,model_name,acquisition_function
4,sockets,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-7.23299940345988,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
64,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,-6.421330833245579,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
64,cores,master,static, ,#pragma unroll,#pragma omp for, ,-7.153434882178874,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
16,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-6.491273300837803,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
96,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,-1.7157608443971886,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-7.47121,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
2,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,-11.666233333333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,-8.392036666666668,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
192,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,-8.24221,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,-8.376353333333334,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
48,cores,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,-1.7355396478914444,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
64,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,-6.888504071917787,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
96,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,-1.9732732190962443,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
48,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-0.7490255945647629,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
