p0,p1,p2,p3,p4,p5,p6,p7,p8,size,objective,source,id,filename,speedup
64,1600,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,20,scatter,sockets,S,0.138085,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_063.c,mmp_063,1.3644132237390012
64,1600,#pragma clang loop unrolling full,#pragma omp parallel for,16,96,128,scatter,threads,S,0.143,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_064.c,mmp_064,1.3175174825174825
64,100, , ,2,8,100,compact,sockets,S,0.101925,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_065.c,mmp_065,1.8484670100564138
32,100,#pragma clang loop unrolling full, ,32,256,100,scatter,sockets,S,0.09628,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_066.c,mmp_066,1.956844619858745
32,100, , ,32,128,128,scatter,sockets,S,0.0981549999999999,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_067.c,mmp_067,1.9194641128826875
32,800,#pragma clang loop unrolling full, ,32,4,100,scatter,sockets,S,0.12766,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_068.c,mmp_068,1.4758342472191759
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,128,compact,threads,S,0.106555,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_069.c,mmp_069,1.7681479048378772
32,800,#pragma clang loop unrolling full, ,32,128,100,disabled,sockets,S,0.110895,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_070.c,mmp_070,1.6989494566932684
64,100, , ,16,2,40,compact,cores,S,0.104615,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_071.c,mmp_071,1.800936768149883
64,100, , ,16,2,128,compact,cores,S,0.112915,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_072.c,mmp_072,1.6685559934463976
32,100, ,#pragma omp parallel for,32,32,40,scatter,sockets,S,0.097335,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_073.c,mmp_073,1.9356346637900035
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,100,compact,threads,S,0.09769,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_074.c,mmp_074,1.9286006756065104
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,100,none,threads,S,0.10709,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_075.c,mmp_075,1.7593145952002986
32,100,#pragma clang loop unrolling full, ,8,128,100,disabled,sockets,S,0.09773,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_076.c,mmp_076,1.927811316893482
2,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,100,balanced,cores,S,0.972425,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_077.c,mmp_077,0.19374758978841555
64,100, ,#pragma omp parallel for,32,256,20,compact,sockets,S,0.10853,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_078.c,mmp_078,1.7359716207500229
32,100,#pragma clang loop unrolling full, ,64,256,100,scatter,sockets,S,0.10054,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_079.c,mmp_079,1.8739307738213644
32,100,#pragma clang loop unrolling full, ,32,32,100,scatter,cores,S,0.09931,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_080.c,mmp_080,1.8971402678481522
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,100,scatter,sockets,S,0.096955,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_081.c,mmp_081,1.9432210819452322
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,80,balanced,cores,S,0.09484,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_082.c,mmp_082,1.9865563053563897
32,100, , ,128,32,100,scatter,sockets,S,0.0986549999999999,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_083.c,mmp_083,1.9097359485074268
32,100, , ,2,4,100,scatter,threads,S,0.098785,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_084.c,mmp_084,1.9072227564913702
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,64,scatter,sockets,S,0.0979299999999999,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_085.c,mmp_085,1.9238741958541834
32,100,#pragma clang loop unrolling full, ,128,256,160,disabled,cores,S,0.094355,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_086.c,mmp_086,1.9967675268931164
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,128,balanced,cores,S,0.093815,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_087.c,mmp_087,2.0082609390822364
32,100,#pragma clang loop unrolling full, ,2,256,80,explicit,cores,S,0.095475,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_088.c,mmp_088,1.9733438072793923
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,160,balanced,sockets,S,0.09383,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_089.c,mmp_089,2.0079398912927635
96,100, ,#pragma omp parallel for,32,4,20,compact,sockets,S,0.113895,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_090.c,mmp_090,1.6541990429781817
16,100, ,#pragma omp parallel for,64,128,20,compact,cores,S,0.16875,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_091.c,mmp_091,1.116474074074074
32,100, ,#pragma omp parallel for,8,16,80,balanced,sockets,S,0.09473,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_092.c,mmp_092,1.9888630845561068
32,100, ,#pragma omp parallel for,96,256,128,none,cores,S,0.09334,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_093.c,mmp_093,2.0184808227983715
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,100,disabled,sockets,S,0.09487,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_094.c,mmp_094,1.985928112153473
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,100,disabled,cores,S,0.094715,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_095.c,mmp_095,1.9891780604972813
16,100, , ,4,16,64,compact,threads,S,0.1691949999999999,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_096.c,mmp_096,1.1135376340908425
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,200,balanced,sockets,S,0.093805,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_097.c,mmp_097,2.008475027983583
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,128,none,cores,S,0.09451,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_098.c,mmp_098,1.9934927520897259
32,100, , ,256,8,64,balanced,sockets,S,0.0938799999999999,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_099.c,mmp_099,2.006870472944186
32,100,#pragma clang loop unrolling full, ,32,4,128,none,cores,S,0.09416,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_100.c,mmp_100,2.0009027187765507
