p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,16,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,19.30286716666667
 , , ,96,64,80,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),68.67065583333334
 , , ,96,64,64,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,64.76399833333333
 , , ,96,1024,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.6278525
 , , ,96,64,2048,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,82.81745500000001
 , , ,96,64,4, , , , ,2.3972691666666663
 , , ,96,64,16, , , , ,11.824498666666665
 , , ,64,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.4049855
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,5.529435833333333
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,50, , , , ,58.784210333333334
 , , ,96,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.121256333333333
 , , ,96,100,4, , , , ,2.5044188333333337
 , , ,96,100,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.526377166666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,4.102167833333334
 , , ,96,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.6030526666666667
 , , ,96,100,256,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,78.74552966666667
 , , ,96,100,512,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,81.0497625
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.5860816666666664
 , , ,96,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,5.116925666666667
 , , ,96,8,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,5.195860499999999
 , , ,32,16,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.486503
 , , ,20,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.3543143333333334
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.2910660000000003
 , , ,1024,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,6.492450666666667
 , , ,8,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,5.8666831666666654
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,2048,4, , , , ,4.606116666666666
 , , ,96,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,4.898067833333333
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,100,4, , , , ,2.1507023333333333
 , , ,100,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.086661166666667
 , , ,96,100,128, , , , ,73.79755649999998
 , , ,96,100,128,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,73.82148233333334
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,3.909476333333334
 , , ,256,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.2639185
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,1024,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,4.3401735
 , , ,100,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),3.8702695000000005
 , , ,100,100,4, , , , ,2.0596876666666666
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,7.972694833333333
 , , ,100,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,3.2217985000000002
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,100,256,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,78.48544383333335
 , , ,100,512,4, , , , ,2.1646164999999997
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,100,4, , , , ,3.711085166666667
 , , ,100,100,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,4.737006166666666
 , , ,16,100,4, , , , ,2.589294
 , , ,4,100,4, , , , ,4.262929666666666
 , , ,128,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.212464
 , , ,100,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.0860758333333336
 , , ,100,4,4, , , , ,5.1379585
 , , ,100,1024,4, , , , ,2.5404059999999995
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,100,20, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,3.5093218333333334
