p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
32,200, , ,4,64,128,compact,cores,500000,0.5142549999999999,114.44439506530762
128,200, , ,256,64,80,compact,threads,500000,0.3402949999999999,130.8244013786316
16,1000, ,#pragma omp parallel for,32,8,200,disabled,cores,500000,0.7216,151.1330146789551
128,640,#pragma clang loop unrolling full,#pragma omp parallel for,8,64,10,scatter,threads,500000,0.303595,167.45966386795044
16,200,#pragma clang loop unrolling full, ,96,32,200,compact,threads,500000,0.791995,188.32474493980408
4,1600, , ,4,96,40,scatter,threads,500000,4.062315,237.8938901424408
256,1000,#pragma clang loop unrolling full, ,256,8,64,explicit,sockets,500000,0.38629,255.07592272758484
192,200, ,#pragma omp parallel for,256,32,100,disabled,threads,500000,0.30062,271.95217537879944
256,800,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,64,none,cores,500000,0.37525,289.8371062278748
128,1600,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,128,explicit,sockets,500000,0.363175,306.98521876335144
64,1280, , ,4,16,80,explicit,threads,500000,0.391495,323.6577098369598
48,2000,#pragma clang loop unrolling full,#pragma omp parallel for,96,96,128,none,threads,500000,0.413195,341.23848009109486
48,1280, ,#pragma omp parallel for,4,8,20,compact,cores,500000,0.59739,359.9738652706146
48,800, ,#pragma omp parallel for,32,256,100,explicit,sockets,500000,0.363935,377.1484441757202
16,400, , ,4,256,160,none,threads,500000,0.754625,397.4847774505615
64,100,#pragma clang loop unrolling full, ,32,32,128,balanced,cores,500000,0.279635,413.7602384090424
64,800, ,#pragma omp parallel for,256,64,128,disabled,cores,500000,0.342865,430.59830117225647
96,800, ,#pragma omp parallel for,16,128,160,balanced,sockets,500000,0.34871,447.3643651008606
48,200,#pragma clang loop unrolling full,#pragma omp parallel for,2,256,40,explicit,cores,500000,0.33437,464.2334041595459
4,1600, , ,128,32,40,balanced,threads,500000,2.33288,498.8351449966431
256,100, , ,16,96,160,balanced,sockets,500000,0.32847,515.5286173820497
256,1280, ,#pragma omp parallel for,128,4,20,scatter,sockets,500000,0.51878,533.9627165794374
32,640, ,#pragma omp parallel for,2,2,10,scatter,threads,500000,0.42969,552.0205051898956
192,2000, , ,96,128,100,compact,threads,500000,0.433015,569.0408575534819
2,640,#pragma clang loop unrolling full, ,2,64,100,explicit,sockets,500000,5.121615,636.4758095741273
4,1600, , ,96,256,100,scatter,sockets,500000,3.3783950000000003,683.7868955135344
128,640, , ,128,2,40,explicit,sockets,500000,0.33732,700.2003848552704
4,640, ,#pragma omp parallel for,16,8,160,explicit,sockets,500000,3.10757,742.4172475337982
2,100,#pragma clang loop unrolling full, ,256,16,100,balanced,cores,500000,4.3913400000000005,797.9152793884277
32,400,#pragma clang loop unrolling full, ,8,128,10,balanced,threads,500000,0.432725,816.067280292511
48,1000,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,64,explicit,cores,500000,0.38756,833.4419391155243
16,1600,#pragma clang loop unrolling full, ,64,4,20,compact,threads,500000,1.00709,857.9514863491057
4,1000,#pragma clang loop unrolling full, ,32,4,160,disabled,threads,500000,2.95623,899.1673498153688
2,1280,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,200,balanced,threads,500000,6.909255,970.709216594696
96,2000,#pragma clang loop unrolling full, ,8,2,200,none,sockets,500000,0.317565,987.1680307388306
8,640, , ,64,128,64,scatter,sockets,500000,1.709415,1016.7100045681
