p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
16,200,#pragma clang loop unrolling full, ,256,128,200,none,threads,-11.49838,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
32,1280, ,#pragma omp parallel for,256,96,20,explicit,sockets,-27.06786,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,10,explicit,sockets,-18.38053,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,2000, , ,96,256,64,none,threads,-18.29007,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
32,1600, ,#pragma omp parallel for,256,64,40,explicit,cores,0.0784012982002641,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, ,#pragma omp parallel for,8,128,200,none,cores,-18.309326666666667,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,128,128,200,none,cores,-18.334201666666665,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, , ,256,128,200,none,cores,-18.415998333333334,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000,#pragma clang loop unrolling full, ,256,96,200,none,cores,-18.43385,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,2000, ,#pragma omp parallel for,256,64,200,none,cores,-18.281358333333333,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
32,640, ,#pragma omp parallel for,256,96,10,explicit,sockets,6.00680774802308,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,640, ,#pragma omp parallel for,256,96,20,explicit,threads,5.984495929233443,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
