p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
64,1000,#pragma clang loop unrolling full,#pragma omp parallel for,16,128,40,balanced,sockets,10000000,16.885965,39694.716487884514
32,800,#pragma clang loop unrolling full, ,8,32,40,compact,threads,10000000,24.999635,41247.260909557335
128,100, ,#pragma omp parallel for,96,256,128,compact,cores,10000000,16.598709999999997,42170.507927656174
128,800, ,#pragma omp parallel for,128,4,160,disabled,threads,10000000,16.032320000000002,43216.79445934296
16,1280, ,#pragma omp parallel for,256,2,200,scatter,threads,10000000,15.884385,44123.3308634758
32,800, ,#pragma omp parallel for,128,256,128,explicit,threads,10000000,20.2927,45101.66375136376
8,100,#pragma clang loop unrolling full, ,256,2,200,balanced,threads,10000000,25.78748,45874.45748233795
128,800,#pragma clang loop unrolling full, ,256,64,40,none,sockets,10000000,15.776595,47072.18048501015
2,100, , ,2,32,200,none,threads,10000000,89.509505,48503.121745824814
192,1600, ,#pragma omp parallel for,16,128,100,scatter,threads,10000000,16.915325,49667.21493506432
48,800, ,#pragma omp parallel for,32,96,80,compact,threads,10000000,19.871615,50523.90421533585
16,1000,#pragma clang loop unrolling full, ,4,8,20,compact,sockets,10000000,16.275879999999994,51589.649475097656
2,1000, , ,128,8,128,explicit,cores,10000000,109.959675,53373.79962921143
96,640, , ,96,2,10,scatter,sockets,10000000,16.36884,55092.130807399735
256,400,#pragma clang loop unrolling full, ,32,2,80,disabled,sockets,10000000,16.39613,55999.413377046585
64,200,#pragma clang loop unrolling full, ,96,2,20,none,threads,10000000,16.171985,57623.37529873848
128,400, , ,4,96,40,disabled,cores,10000000,15.854345,58801.124957561486
64,400,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,40,compact,cores,10000000,16.19461,59826.939109802246
256,200, ,#pragma omp parallel for,4,32,100,disabled,threads,10000000,17.689775,182.0391056537628
8,1000,#pragma clang loop unrolling full, ,8,16,20,scatter,threads,10000000,22.006315,393.40938663482666
64,2000, , ,16,2,80,disabled,threads,10000000,18.64478,612.5318822860718
256,1600, ,#pragma omp parallel for,16,128,100,none,cores,10000000,18.43847,796.1407885551453
32,800, , ,128,4,40,scatter,cores,10000000,26.190045,1060.1096391677856
64,1280,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,128,none,sockets,10000000,19.30537,1266.2137448787691
192,800,#pragma clang loop unrolling full,#pragma omp parallel for,256,64,160,explicit,threads,10000000,18.049190000000007,1448.5231058597565
96,800,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,64,compact,cores,10000000,17.642754999999994,1620.8291580677032
32,200, ,#pragma omp parallel for,2,96,10,disabled,sockets,10000000,25.82981,1883.149903535843
192,640, ,#pragma omp parallel for,96,2,10,explicit,threads,10000000,17.999565,2062.235762834549
256,100, , ,32,96,80,explicit,cores,10000000,19.333645,2275.854271888733
96,640,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,40,balanced,sockets,10000000,18.23331,2454.836674213409
4,640,#pragma clang loop unrolling full, ,256,256,100,scatter,threads,10000000,44.65172000000001,2873.403898715973
4,200, , ,96,32,80,explicit,sockets,10000000,43.73667,3282.124142885208
128,400, , ,8,16,10,scatter,threads,10000000,18.494795,3462.420214653015
4,100, ,#pragma omp parallel for,2,8,100,none,cores,10000000,43.93222,3871.265818119049
2,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,160,compact,cores,10000000,87.54014000000002,4675.897233247757
128,1600, ,#pragma omp parallel for,4,4,64,disabled,threads,10000000,18.2983,4867.64794564247
2,100,#pragma clang loop unrolling full, ,64,96,128,compact,sockets,10000000,88.477315,5686.676059961321
128,800, ,#pragma omp parallel for,16,16,128,balanced,threads,10000000,17.866395,5861.3455669879895
128,640,#pragma clang loop unrolling full, ,96,64,64,none,sockets,10000000,18.734565,6071.913864135742
48,1280,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,20,disabled,threads,10000000,20.49663,6283.118172407148
16,1000, , ,64,32,160,balanced,sockets,10000000,11.649365,6401.103437185288
256,200, , ,64,64,20,explicit,threads,10000000,17.826725,6605.424250602722
2,2000, ,#pragma omp parallel for,4,256,128,disabled,cores,10000000,88.60806,7409.257571220398
192,200, , ,4,256,10,scatter,threads,10000000,17.816229999999994,7583.656858921051
4,1280, , ,64,96,40,compact,threads,10000000,51.85888,8069.400757074355
48,1600,#pragma clang loop unrolling full, ,8,2,200,explicit,cores,10000000,20.852525,8292.514840841293
4,100, , ,16,2,160,balanced,cores,10000000,43.114025,8713.020944356918
8,400,#pragma clang loop unrolling full, ,32,128,64,scatter,cores,10000000,21.9868,8924.251942873001
128,1600,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,64,compact,threads,10000000,18.56578,9105.550535678864
32,800,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,40,explicit,sockets,10000000,24.20545,9357.95195221901
48,400,#pragma clang loop unrolling full,#pragma omp parallel for,128,16,128,none,cores,10000000,24.029425,9612.834646940231
4,1000,#pragma clang loop unrolling full, ,16,4,200,scatter,cores,10000000,44.091195,10027.104855537416
16,400, , ,64,128,20,scatter,sockets,10000000,11.809315,10146.457012653347
192,1600, , ,256,32,200,none,sockets,10000000,18.10514,10353.33546590805
96,2000,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,80,disabled,sockets,10000000,18.346505,10546.246038913729
96,400, ,#pragma omp parallel for,256,256,64,compact,sockets,10000000,17.67867,10719.615736961365
2,1000,#pragma clang loop unrolling full, ,8,128,100,balanced,cores,10000000,86.05675500000002,11508.247767686844
64,2000, ,#pragma omp parallel for,96,32,20,explicit,sockets,10000000,17.842814999999995,11699.118208408358
48,640,#pragma clang loop unrolling full,#pragma omp parallel for,2,4,160,compact,threads,10000000,19.05,11897.4141933918
64,640,#pragma clang loop unrolling full, ,128,16,80,compact,cores,10000000,18.51599,12085.753365278244
32,1600,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,100,none,sockets,10000000,21.604915,12310.006547927856
32,100, , ,16,4,40,none,sockets,10000000,28.751980000000003,12591.413923025131
64,200, , ,96,128,200,balanced,threads,10000000,30.15458,12873.916905641556
16,200, , ,32,4,160,disabled,cores,10000000,11.895235,12994.225672721865
192,1000,#pragma clang loop unrolling full, ,32,16,10,balanced,cores,10000000,18.40255,13206.51198410988
16,1280,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,64,none,sockets,10000000,11.81997,13326.555481672289
8,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,20,balanced,cores,10000000,22.018985,13538.4644780159
8,2000,#pragma clang loop unrolling full,#pragma omp parallel for,2,2,200,scatter,sockets,10000000,21.97624,13749.639564275742
4,200, , ,8,16,64,none,threads,10000000,43.897785,14389.180135250092
2,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,40,balanced,threads,10000000,85.26173,15407.040805101396
48,2000, , ,2,128,40,none,threads,10000000,18.300935,16016.506707429886
4,200,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,80,balanced,sockets,10000000,42.343935,16757.486573457718
256,640,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,200,disabled,sockets,10000000,18.311355,17382.05137038231
96,2000, , ,256,64,20,scatter,cores,10000000,18.003445000000006,18136.431022405624
128,1600, ,#pragma omp parallel for,128,256,128,scatter,threads,10000000,17.751215000000006,18628.513298511505
16,800,#pragma clang loop unrolling full, ,32,64,20,scatter,cores,10000000,12.02887,19032.57607936859
4,640,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,10,none,sockets,10000000,43.45321,19728.04017853737
64,200, ,#pragma omp parallel for,64,4,200,compact,sockets,10000000,18.448275,20433.942476272583
128,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,128,200,explicit,cores,10000000,18.054775,21151.938858270645
16,100,#pragma clang loop unrolling full, ,16,128,80,none,sockets,10000000,11.628025,21598.770785808563
192,200, ,#pragma omp parallel for,128,8,10,none,sockets,10000000,18.651325,22151.31221628189
192,2000,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,200,balanced,cores,10000000,18.669815,22638.2254152298
128,1600,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,64,balanced,cores,10000000,18.094205,23172.228682756428
192,1280, , ,128,2,10,disabled,sockets,10000000,18.472245,23854.31272888184
256,400,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,20,compact,threads,10000000,16.3136,24847.92237854004
256,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,200,balanced,sockets,10000000,16.04119,25359.47484779358
