p0,p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,100,0.0091225,1993.0679984092712
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,256,0.007893500000000001,2004.8494777679443
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,32,50,0.01727,2017.6003036499023
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,20,0.012163,2029.9651443958282
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,128,0.007852,2041.0492753982544
 , , ,128,50,64,0.0056965,2051.724928379059
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,100,0.0149865,2064.7146475315094
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,20,0.009904,2076.400959253311
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,128,16,0.020349,2088.294506788254
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,128,0.007911,2099.56258225441
 , , ,20,32,64,0.005758,2111.194815158844
 , , ,4,32,64,0.00577,2122.1675148010254
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,32,16,0.0253985,2134.3983237743378
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,32,16,0.024623,2146.9410457611084
 , , ,4,32,16,0.008272,2158.795303583145
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,16,0.0076155,2171.2660784721375
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,32,64,0.0171525,2184.1581115722656
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,32,50,0.0115925,2195.777485370636
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,32,50,0.011588000000000001,2207.90495634079
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,8,16,0.025099999999999997,2220.0440785884857
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,16,0.0201055,2231.7729074954987
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,128,80,0.009648,2243.101758480072
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,20,80,0.010271,2255.3039104938507
 , , ,16,50,16,0.008865999999999999,2266.4219069480896
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,80,80,0.0096335,2277.7353899478912
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,2048,80,0.009563,2288.8630793094635
 , , ,16,64,16,0.008608,2300.0191452503204
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,32,80,0.011604,2311.8278844356537
